Spingarn Medal 	स्पिनगार्न मेडल 
GENETIC TECHNOLOGIES 	जेनेटिक टेक्नोलॉजीज़ 
Ninetowns Digital World Trade Holdings Limited 	नाइनटाउन्स डिजीटल वर्ल्ड ट्रेड होल्डिंग्स लिमिटेड 
Takeda Award 	टकेडा अवार्ड 
Mere Sanam 	मेरे सनम 
British Comedy Awards 	ब्रिटिश कॉमेडी अवार्ड्‍स 
Do Shikari 	दो शिकारी 
Dhola Junction 	धोला जंक्शन 
Do Aankhen Barah Haath 	दो आँखें बारह हाथ 
New tavern fort 	न्यू टैवर्न फोर्ट 
Reuters Group 	रियूटर्स ग्रुप 
Krishna Sudaama 	क़ृष्ण सुदामा 
Carl Bulfin 	कार्ल बुल्फिन 
Roop Kumari 	रूप कुमारी 
Mah Seamless 	महिंद्रा सीमलेस 
Tim Zoehrer 	टिम ज़ोहरर 
Blessing Mahwire 	ब्लेसिंग मेहवायर 
Ghungroo Ki Awaz 	घुँघरू की आवाज़ 
Crownhill fort 	क्राउनहिल फोर्ट 
Sarkari Mehman 	सरकारी मेहमान 
Varattupallam Reservoir 	वरत्तुपल्लम रिज़रवायर 
Hindustan Lever 	हिंदुस्तान लीवर 
Futuremedia Public Limited Company 	फ़्यूचरमीडिया पब्लिक लिमिटेड कंपनी 
Mera Desh Mera Dharam 	मेरा देश मेरा धरम 
Revolt in the Vendee 	रिवॉल्ट इन द वेंडी 
Aadhi Yug 	आधी युग 
Raj Nartaki 	राज नर्तकी 
Dwarikesh Sugar 	द्वारकेश शुगर 
Sunil Wettimuny 	सुनिल वेट्टीमुनी 
Sierra Leone 	सिइरा लियोन 
Fish River Canyon 	फिश रिवर कैनयन 
Jab Andhera Hota Hai 	जब अँधेरा होता है 
Gurudwara Doot-talai 	गुरूद्वारा दूत-तलाई 
Paap Aur Punya 	पाप और पुण्य 
Three Gorges Dam 	थ्री गोरजेस डैम 
Ryan Ramdass 	रियान रामदास 
Sawan Bhadon 	सावन भादों 
Hosanna Lutheran 	हॉसन्ना लुथरेन 
Chand Chakori 	चाँद चकोरी 
Windham County Historical Museum 	व‍िंडहैम काउंट‍ी ह‍िस्टॉर‍िकल म्युज़ियम 
Jal Pari 	जल परी 
Naache uri 	नाचे उरी 
Mome Ki Gudia 	मोम की गुड़िया 
Vaughan Brown 	वॉगन ब्राउन 
Mai Baap 	माई बाप 
Schleswig-Holstein Wadden Sea 	शेज़विग-होलस्टेन वैडन सी 
Niaz And Namaz 	नियाज़ एण्ड नमाज़ 
Nishan Danka 	निशान डंका 
Benazir Bhutto 	बेनजीर भुट्टो 
Naspers Limited 	नैस्पर्स लिमिटेड 
Yaqui indian dance 	याकूई इंडियन डांस 
Eastbourne redoubt 	ईस्टबॉर्न रीडाउट 
Jimmy Swaggart 	जिमी स्वागर्ट 
Malhar Patel 	मल्हार पटेल 
Pyar Ke Do Char Din 	प्यार के दो चार दिन 
Prem Ki Aag 	प्रेम की आग 
Aankhon Mein Tum Ho 	आँखों में तुम हो 
David Chapel Missionary Baptist 	डेविड चेपल मिशनरी बैपटिस्ट 
Sajid Ali 	साजिद अली 
Khoon Bha Ganga Mein 	खून बहा गंगा में 
Jeene Nahin Doonga 	जीने नहीं दूँगा 
Badi Maa 	बड़ी माँ 
Mujhe Vachan Do 	मुझे वचन दो 
Fort buchanan 	फोर्ट बुकनन 
Brian Murphy 	ब्रायन मर्फी 
Lagoa do Peixe 	लागोआ डो पेक्सी 
Abdul matin 	अब्दुल मतीन 
Hayward Gallery 	हेवर्ड गैलरी 
Devar Bhabi 	देवर भाभी 
South Bank University 	साउथ बैंक यूनिवर्सिटी 
Felis Shelf 	फ़िलीस श्चेल्फी 
Three Hundreed Days After 	थ्री हंडरेज डेज़ आफ्टर 
Hanuman Vijay 	हनुमान विजय 
Meri Zubaan 	मेरी ज़ुबान 
Vesuvius India 	वेसुवियस इंडिया 
Aashiq Hoon Baharon Ka 	आशिक हूँ बहारों का 
Bombay Town 	बॉम्बे टाउन 
Renaissance Tower 	रेनेसान्स टॉवर 
Samuel Chase 	सैमुएल चेस 
Do Premee 	दो प्रेमी 
Sajjo Rani 	सज्जो रानी 
Shekhar Mera Naam 	शेखर मेरा नाम 
Meritorious Service Medal 	मेरिटोरियस सर्विस मेडल 
Wakefield Christian 	वेकफ़िल्ड क्रिश्चियन 
Chennai Central 	चेन्नई सेंट्रल 
Awara Baap 	आवारा बाप 
Aulad Ke Dushman 	औलाद के दुश्मन 
Gangsar Jaitu 	गंगसार जैतु 
Har Har Gange 	हर हर गंगे 
Mera Bhai Mera Dushman 	मेरा भाई मेरा दुश्मन 
Jeremy Castle 	जैरेमी कैसल 
Professor Aur Jadugar 	प्रोफेसर और जादुगर 
Fdederated Dept Stor 	फ़ेडरेटेड डेप्ट स्टोर 
Arab Ka Sitara 	अरब का सितारा 
Meri Adalat 	मेरी अदालत 
Michael Mason 	माइकल मैसन 
Apne Dam Par 	अपने दम पर 
Abdul majid 	अब्दुल मजीद 
Saleem Jaffar 	सलीम जाफर 
Cranfield University 	क्रैनफील्ड यूनिवर्सिटी 
Hum Naujawan 	हम नौजवान 
Phool Khile Hain Gulshan Gulshan 	फूल खिले हैं गुलशन गुलशन 
Order of Public Services Merit 	ऑडर ऑफ पब्लिक सर्विसेस मेरिट 
Goldsmith Book Prize 	गोल्डस्मिथ बुक प्राइज़ 
Darrin Murray 	डेरिन मुर्रे 
Rajendra Mohan Bhatnagar 	राजेन्द्र मोहन भटनागर 
Trinity Biotech 	ट्रिनिटी बायोटेक 
Stride Arcolab 	स्ट्राइड आर्कोलैब 
Tata Sponge Iro 	टाटा स्पॉन्ज़ इरो 
Abdul malik 	अब्दुल मलिक 
Oral Roberts 	ऑरल रॉर्बट्स 
Fort widley 	फोर्ट विडले 
Central America Maya 	सेंट्रल अमेरिका माया 
Jaise Ko Taisa 	जैसे को तैसा 
Lanka de Silva 	लंका डे सिल्वा 
Dyani Feinstein 	डायनी फ़ेनस्टिन 
Beti Bete 	बेटी बेटे 
Jai Jagat Janani 	जय जगत जननी 
Citygate tower 	सिटीगेट टॉवर 
Jerry Lee Lewis 	जेरी ली लुइस 
Dabhoi Junction 	दभोई जंक्शन 
Jeetan Patel 	जीतेन पटेल 
Bhatni Junction 	भटनी जंक्शन 
Meera Shyam 	मीरा श्याम 
Shabbir Ahmed 	शब्बीर अहमद 
Mohan Rakesh 	मोहन राकेश 
Krebs Biochem 	क्रेब्स बायोकेम 
Lola Awards 	लोला अवार्ड्‍स 
James Kirtley 	जेम्स कर्टले 
Panacea Biotech 	पैनेसिया बायोटेक 
Ray Bright 	रे ब्राइट 
Allaudin Ka Beta 	अलाउद्दीन का बेटा 
Columbia river 	कोलंबिया रिवर 
Pan American Silver 	पैन अमेरिकन सिल्वर 
Bialik Prize 	बियालिक प्राइज़ 
Do Bachche Dus Haath 	दो बच्चे दस हाथ 
Aage Mode Hai 	आगे मोड़ है 
Lomonosov Gold Medal 	लोमोनोसोव गोल्ड मेडल 
Uppar Reservoir 	उप्पर रिज़रवायर 
Laurie Williams 	लॉरी विलियम्स 
Govindi Marwar 	गोविंदी मारवाड़ 
Squiddy Awards 	स्क्विडी अवार्ड्‍स 
Dhul fiqar 	धुल फिकर 
International Grandmasters 	इंटरनेशनल ग्रैंडमास्टर्स 
Aadha Din Aadhi Raat 	आधा दिन आधी रात 
Robbie Hart 	रॉबी हार्ट 
Jahazi Lutera 	जहाज़ी लुटेरा 
Mohabbat Zindagi Hai 	मोहब्बत ज़िंदगी है 
Daku Bhupat 	डाकू भूपट 
Common Bete 	कॉमन बेटे 
Pehle Aap 	पहले आप 
Agra Cantonment 	आगरा कैनटॉनमेंट 
Order of the Crown 	ऑडर ऑफ द क्राउन 
The satyam times 	द सत्यम टाइम्स 
Attah Canada 	एटा कनाडा 
Bayana Junction 	बयाना जंक्शन 
Badalte Rishte 	बदलते रिश्ते 
Jeff Mackreth 	जेफ़ मॅकक्रेथ 
Graeme Swann 	ग्रीम स्वान 
Lewis Carroll 	लिविस करोल 
Frank furt 	फ़्रैंक फ़र्ट 
Manzoor Akhtar 	मंज़ूर अख़्तर 
Maritime Museum of Greece 	मैरीटाइम म्युज़ियम ऑफ ग्रीस 
Dil Ka Raja 	दिल का राजा 
Hansie Cronje 	हैंसी क्रोंज 
Southern sea 	सदर्न सी 
China Medical Technologies 	चाइना मेडिकल टेक्नोलॉजिस 
Fort pasir panjang 	फोर्ट पैसिर पैंजंग 
Sigourney Weaver 	सिर्गोनी विवर 
Woody Allen 	वुडी एलन 
Chalta Purza 	चलता पुर्ज़ा 
Sher Ka Punja 	शेर का पंजा 
Orteig Prize 	ऑर्टेग प्राइज़ 
Resham Ki Dori 	रेशम की डोरी 
Fort mandan 	फोर्ट मैंडन 
Japan Airlines 	जपान एयरलाइंस 
Irfan Fazil 	इरफान फाज़िल 
Chhoti Chhoti Baten 	छोटी छोटी बातें 
Kenosha Bible 	केनोशा बायबल 
Anokha Prem 	अनोखा प्रेम 
Gurudwara Kalgidhar 	गुरूद्वारा कलगीधर 
Riffa fort 	रिफा फोर्ट 
Dum Dum Cantonment 	डम डम कैनटॉनमेंट 
Order of the Elephant 	ऑडर ऑफ द एलिफेंट 
Eveready Ind 	एवरेडी इंडस्ट्रीज़ 
Na Hone Wali Baat 	ना होने वाली बात 
Abu Road 	आबु रोड 
Tube Investment 	ट्यूब इन्वेस्टमेंट 
Mastana Mashooq 	मस्ताना माशूक 
Paul Allott 	पॉल एलॉट 
Shah Behram 	शाह बेहराम 
Julius Scissor 	जुलियस सीजर 
Dil Tujh Ko Diya 	दिल तुझ को दिया 
Peak District 	पीक डिस्ट्रिक्ट 
Battice fort 	बैटिस फोर्ट 
Wells Fargo 	वेल्स फ़ार्गो 
Casper Community 	कैस्पर कम्युनिटी 
Biwi O Biwii 	बीवी ओ बीवी 
Gevra Road 	गेवरा रोड 
Elbit Medical Imaging 	एल्बिट मेडिकल इमेंजिंग 
Man Ka Meet 	मन का मीत 
Reshma Aur Shera 	रेश्मा और शेरा 
Vermont Ski Museum 	वरमाउंट स्काई म्युज़ियम 
Edinburgh College of Art 	ऐडिनबर्ग कॉलेज ऑफ आर्ट 
State Farm Insurance 	स्टेट फ़ार्म इंश्योरेंस 
Bijli Aur Toofan 	बिजली और तूफ़ान 
Craig Evans 	क्रेग ईवंस 
Shahid Mahboob 	शाहिद महबूब 
Mamta Aur Mian Biwi 	ममता और मियाँ बीवी 
Tiruvannamalai Samburwaryaar 	तिरुवन्नामलाई सबुंरवरयार 
Unicoi Christian 	यूनीकोई क्रिश्चियन 
Dripping Springs Community Fellowship 	ड्रिपिंग स्प्रिंग्स कम्युनिटी फेलोशिप 
Cathy Betts 	कॅथे बेट्स 
Shoaib Akhtar 	शोएब खान 
Abdul zalil 	अब्दुल ज़लील 
Prabodh Chandra 	प्रबोध चन्द्र 
Alfred Hitchcock 	अल्फ़्रेड हिचकॉक 
Overland Hills 	ओवरलैंड हिल्स 
Maple Museum 	मैपल म्युज़ियम 
Main Shadi Karne Chala 	मैं शादी करने चला 
SUNDAY Communications Limited 	सनडे कम्युनिकेशंस लिमिटेड 
Pati Pawan 	पति पावन 
Creative Technology 	क्रिएटिव टेक्नोलॉजी 
Kepler Wessels 	केप्लर वेसल्स 
Painter Babu 	पेंटर बाबू 
Man of the Year/Person of the Year 	मैन ऑफ द ईयर/पर्सन ऑफ द ईयर 
Gregory Strydom 	ग्रेगरी स्ट्राएडम 
Coretta Scott King Award 	कॉरेटा स्कॉट किंग अवार्ड 
London Luton 	लंदन ल्यूटॉन 
Gujarat samachar 	गुजरात समाचार 
Azhar Hossain 	अज़हर हुसैन 
Anuppur Junction 	अनुपपुर जंक्शन 
Saint Pierre's Episcopal 	सेंट पिरेस एपिस्कोपाल 
Swami Dayanand Saraswati 	स्वामी दयानंद सरस्वती 
Williamite war in Ireland 	विलियामाइट वार इन आयरलैंड 
Gambhiri Road 	गंभीरी रोड 
Fort pulaski 	फोर्ट पुलास्की 
Roger Woolley 	रॉजर वूले 
Pinson Park Baptist 	पिंसन पार्क बैपटिस्ट 
Midnight Mail 	मिडनाइट मेल 
Pugachev's Rebellion 	प्यूगाचेव्स रिबेलियन 
Garma Garam 	गरमा गरम 
Historical and Folklore Museum of Corinth 	ह‍िस्टॉर‍िकल एण्ड फोकलोर म्युज़ियम ऑफ कॉर‍िन्थ 
Ram Lakhan 	राम लखन 
Aurat Aur Patthar 	औरत और पत्थर 
Sanchi Stupa 	सांची स्तूप 
Leading Brands 	लीडिंग ब्रांड्स 
Orchid Chemical 	ऑर्किड केमिकल्स 
Martha Stewart 	मर्था स्टीवर्ट 
Bin Badal Barsaat 	बिन बादल बरसात 
Pyar Ki Dastan 	प्यार की दास्तां 
Friendship Baptist 	फ़्रेंडशिप बैपटिस्ट 
New Museum of Contemporary Art 	न्यू म्युज़ियम ऑफ कंटेम्पररी आर्ट 
Trevor Madondo 	ट्रेवर मैडोंडो 
University of Hertfordshire 	यूनिवर्सिटी ऑफ हर्टफोर्डशायर 
Delhi Junction 	डेल्ही जंक्शन 
World Heart Corporation 	वर्ल्ड हार्ट कॉर्पोरेशन 
Elton Chigumbura 	एल्टन चिगमबुरा 
Mera Dost 	मेरा दोस्त 
Abdul qahhar 	अब्दुल कहार 
Abdul mughanee 	अब्दुल मुग़ानी 
Ghazipur City 	गाज़ीपुर सिटी 
Jnanpith Award 	ज्ञानपीठ अवार्ड 
Mera Muqadar 	मेरा मुक़द्दर 
DLink (India) 	डीलिंक (इंडिया) 
Richard Petrie 	रिचर्ड पेट्री 
Junaid Zia 	जुनैद ज़िया 
Do Raha 	दो राहा 
Gamini Wickremasinghe 	जेमिनी विक्रमासिन्घे 
George Washington 	जॉर्ज वॉशिंग्टन 
Order of Polonia Restituta 	ऑडर ऑफ पोलोनिया रेस्टीट्यूटा 
United Western 	यूनाइटेड वेस्टर्न 
Publix Super Markets 	पब्लिक्स सुपर मार्केट्स 
Mikhail Gorbachev 	मिखाइल गोर्बाचेव 
Ryugyong Hotel 	युंगयोंग होटेल 
Bal Bharati Public School 	बाल भारती पब्लिक स्कूल 
Logie Award 	लॉग अवार्ड्‍स 
University of Bath 	यूनिवर्सिटी ऑफ बाथ 
Jhootha Sach 	झूठा सच 
Joru Ka Bhai 	जोरू का भाई 
University of Sussex 	यूनिवर्सिटी ऑफ सुसेक्स 
Khwaja Mir Dard 	ख्वाजा मीर दर्द 
Goswami Tulsidas 	गोस्वामी तुलसीदास 
The Australian/Vogel Literary Award 	द ऑस्ट्रेलियन/वोगेल लिट्रेरी अवार्ड 
Wachovia Corp 	वैकॉविया कॉर्प 
Kalahari Gemsbok 	कलाहारी जेम्सबॉक 
Bedroom Story 	बेडरूम स्टोरी 
Dharam Kanta 	धरम काँटा 
Barney Rogers 	बर्नी रॉजर्स 
Florina Museum of Modern Art 	फ्लोर‍िना म्युज़ियम ऑफ मॉडर्न आर्ट 
Shaitan Ka Pash 	शैतान का पाश 
Patterson Thompson 	पैटर्सन थॉमप्सन 
Banmankhi Junction 	बानमंखी जंक्शन 
Tel Aviv 	तेल अविव 
Chandan Ka Palna 	चंदन का पालना 
Mem Didi 	मेम दीदी 
Xel-ha Lagoon 	ज़ेल-हा लैगून 
Conte Verde 	कॉन्टे वर्डे 
Fatehgarh Sahib 	फतेहगढ़ साहिब 
Hawa Mahal 	हवा महल 
Usman dan Fodio 	उस्मान दान फोडियो 
Ranga Aur Raja 	रंगा और राजा 
Khudai Khidmatgar 	खुदाई खिदमतगार 
John Hancock Center 	जॉन हेनकॉक सेन्टर 
Graeme Wood 	ग्रीम वुड 
Alan Mullally 	ऐलन मुलाली 
Mawenge Mwena 	मवेंजी म्वेना 
Gunderippalam Reservoir 	गुन्देरीप्पलम रिज़रवायर 
Ijaz Ahmed 	इजाज़ अहमद 
Pirelli Award 	पिरेली अवार्ड 
Bhai Akhir Bhai Hota Hai 	भाई आखिर भाई होता है 
Rakhi Ki Saugandh 	राखी की सौगंध 
Jaigarh fort 	जयगढ़ फोर्ट 
Steven Hawking 	स्टीवन हॉकिंग 
Dick Gregory 	डिक ग्रीगोरी 
Romantic India 	रोमांटिक इंडिया 
Ek Ke Baad Ek 	एक के बाद एक 
Shane Lee 	शेन ली 
Main Khilona Nahin 	मैं खिलौना नहीं 
Charbagh Railway Station 	चारबाग रेल्वे स्टेशन 
Boeta Dippenaar 	बोएटा डिप्पेनार 
New York Historical Society 	न्यू यॉर्क ह‍िस्टॉर‍िकल सोसायटी 
Infotech Enter 	इंफ़ोटेक एन्टर 
Prix Goncourt 	प्रिक्स गॉनकोर्ट 
Blue Ridge parkway 	ब्ल्यू रिज पार्कवे 
Wasim Raja 	वसीम राजा 
Sindoor Bane Jwala 	सिंदूर बने ज्वाला 
Kamal Ke Phool 	कमल के फूल 
Neel Kamal 	नील कमल 
Perkin Medal 	पर्किन मेडल 
Jeevan Rekha 	जीवन रेखा 
Pati Parmeshwar 	पति परमेश्वर 
No mans land fort 	नो मैन्स लैंड फोर्ट 
Achhnera Junction 	अछनेरा जंक्शन 
ATOM Award 	एटम अवार्ड 
Rumford Medal 	रमफोर्ड मेडल 
Sir Richard Hadlee 	सर रिचर्ड हेडली 
Brendon Bracewell 	ब्रेंडन ब्रेसवेल 
Aftek Infosys 	एफ़्टेक इंफ़ोसिस 
Shun Hing Square 	शून हिंग स्क्वेअर 
Rishi Valley School 	ऋषि वैली स्कूल 
Chori Chori 	चोरी चोरी 
Radio Academy Awards 	रेडियो अकेडमी अवार्ड्‍स 
Altair Nanotechnologies 	अल्टायर नैनोटेकर्नलॉजिस 
Big apple 	बिग एपल 
Dil Akhir Dil Hai 	दिल आखिर दिल है 
Mohammad Nazir 	मोहम्मद नाज़िर 
Alok Industries 	आलोक इंडस्ट्रीज़ 
Bilhar Ghat 	बिलहार घाट 
Daiwa House Industry 	डैवा हाउस इंडस्ट्री 
Kevin Curran 	केविन क्यूरेन 
Lal Punja 	लाल पंजा 
Teddy Kenedy 	टेडी कॅनेडी 
Murde Ki Jaan Khatre Main 	मुर्दे की जान खतरे में 
Dak Ghar 	डाक घर 
Peder Skram 	पेडर स्क्रेम 
Roydon Hayes 	रेडन हेस 
Khwaja Shamsuddin Azeemi 	ख्वाजा शमसुद्दीन अज़ीमी 
Shaadi Se Pehle 	शादी से पहले 
Stanley fort 	स्टैनले फोर्ट 
Museum of Works by Theophilos 	म्युज़ियम ऑफ वर्क्स बाय थ‍ियोफ‍िलस 
Torrent Group 	टॉरेंट ग्रुप 
Nilesh Kulkarni 	निलेश कुलकर्णी 
Abdul baaqi 	अब्दुल बाक़ी 
Chhoo Mantar 	छू मंत्र 
Delhi Sarai Rohilla 	डेल्ही सराय रोहिल्ला 
Reporter Raju 	रिपोर्टर राजू 
Saat Hindustani 	सात हिंदुस्तानी 
Granville De Silva 	ग्रैनविले डे सिल्वा 
Xing Universal Telephone 	ज़िंग युनिवर्सल टैलिफ़ोन 
Fort ashby 	फोर्ट ऐशबाय 
Jung Bahadur 	जंग बहादुर 
Boot Polish 	बूट पॉलिश 
Chapada da Diamantina 	चापाडा डा डायमेंटिना 
Fort bembridge 	फोर्ट बेम्ब्रिज 
Phil Jaques 	फिल जैक्स 
100 Greatest Britons 	100 ग्रेटेस्ट ब्रिटन्स 
Pandit Jasraj 	पंडित जसराज 
Jaiprakash Narayan 	जयप्रकाश नारायण 
Bolero son 	बॉलेरो सन 
Huntsville Christian 	ह्यूस्टविले क्रिश्चियन 
Kaiser Barbarossa 	कैसर बर्बोरोसा 
Egebergs Erespris 	एजबर्ग्स एरेसप्रिस 
Prinzregent Luitpold 	प्रिंजरेजेंट ल्यूपोल्ड 
Walter Kohn 	वॉल्टर कोहन 
Pradeep Jayaprakashdaran 	प्रदीप जयप्रकाशदरन 
Mehandi Rang Layegi 	मेहँदी रंग लाएगी 
Bukit Baka Bukit Raya 	बुकिट बाका बुकिट राया 
Betty Friedan 	बेट्टी फ़्रिडन 
Woh Saat Din 	वो सात दिन 
Order of the Sword 	ऑडर ऑफ़ द स्वॉर्ड 
King Charlemagne 	किंग चार्लमेयनी 
Asomiya pratidin 	असोम‍िया प्रतिद‍िन 
Ankh Ka Nasha 	आँख का नशा 
Ghunghat Wali 	घूँघट वाली 
Travis Baptist 	ट्रॅविस बैपटिस्ट 
Lyon saint exupery 	आयॉन सेंट एज़्युपेरी 
Anura Ranasinghe 	अनुरा राणासिंघे 
Adgaon Buzurg 	अदगांव बुज़ुर्ग 
Grammy Award 	ग्रैमी अवार्ड 
Brit Awards 	ब्रिट अवार्ड्‍स 
Ujesh Ranchod 	उजेश रेंचड 
Daily aikya 	डेल्ही ऐक्य 
Samaj Patan 	समाज पतन 
Jagannath puri 	जगन्नाथ पुरी 
Abdur razzaq 	अब्दुर रज़्ज़ाक 
Agricultural Bank of China 	एग्रीकल्चरल बैंक ऑफ चाइना 
Haitian Revolution 	हायशियन रिवॉल्यूशन 
Bindiya Chamkegi 	बिंदिया चमकेगी 
Tyson Foods 	टायसॉन फ़ूड्स 
Mard Ki Zabaan 	मर्द की ज़बान 
Steve Martin 	स्टीव मार्टिन 
Sanwar Hossain 	सन्वर हुसैन 
Owais Shah 	ऑवेस शाह 
Shing Mun Reservoir 	शिंग मुन रिज़रवायर 
Shah Abdul Latif Bhittai 	शाह अब्दुल लतीफ भिट्टाई 
Phool Bane Angarey 	फूल बने अंगारे 
Hanste Khelte 	हँसते खेलते 
Gundappa Viswanath 	गुंडप्पा विश्वनाथ 
Brookings Wesleyan 	ब्रूकिंग्स वेस्लेयान 
Yehiam fort 	येहैम फोर्ट 
Justin Ontong 	जस्टिन ओंटॉन्ग 
Tad Turner 	टेड टर्नर 
Ek Nazar 	एक नज़र 
Belfast City 	बेलफास्ट सिटी 
Dum Dum 	डम डम 
Ghar Ka Chirag 	घर का चिराग 
Ek Din Achanak 	एक दिन अचानक 
Shri Raageshwari Radha Rani 	श्री रागेश्वरी राधा रानी 
Chalisgaon Junction 	चालीसगांव जंक्शन 
Aplam Chaplam 	अपलम चपलम 
Joginder Sharma 	जोगिंदर शर्मा 
Sampoorna Santoshi Maa Ki Mahima 	संपूर्ण संतोषी माँ की महिमा 
Raj Dulari 	राज दुलारी 
Saint Vincent 	सेंट विंसेंट 
Fort lovrijenac 	फोर्ट लॉव्रीजेनैक 
Bikaner Junction 	बीकानेर जंक्शन 
Cherish Rock 	चॅरिश रॉक 
Jeene Ki Raah 	जीने की राह 
Bhopal Junction 	भोपाल जंक्शन 
Baat Ek Raat Ke 	बात एक रात की 
Anderson Cummins 	एण्डरसन क्युमिंस 
Hum To Chale Pardes 	हम तो चले परदेस 
Rajin Saleh 	राजिन सालेह 
Passing Show 	पासिंग शो 
Shatranj Ke Mohre 	शतरंज के मोहरे 
Khol De Meri Zuban 	खोल दे मेरी ज़ुबान 
Insaaf Ki Manzil 	इंसाफ की मंज़िल 
Ahmad al-Arabi al-Darqawi 	अहमद अल-अरबी अल-दरक़ावी 
Ross Sea 	रॉस सी 
Shahi Mehmaan 	शाही मेहमान 
Marlon Samuels 	मार्लोन सैमुएल्स 
Imam Shamil 	इमाम शामिल 
Abdul jabbaar 	अब्दुल जब्बार 
Mathew Sinclair 	मैथ्यू सिनक्लेयर 
Hum Bhi Insaan Hai 	हम भी इंसान हैं 
Raja Rani 	राजा रानी 
Sarojini Naidu 	सरोजिनी नायडू 
Fort calgary 	फोर्ट कैलगरी 
Pyar Ki Manzil 	प्यार की मंज़िल 
Akhri Badla 	आखिरी बदला 
Heera Panna 	हीरा पन्ना 
Pantanal Matogrossense 	पेंटानल मॅटोग्रोसेंस 
Ajanta Ellora 	अजंता एलोरा 
Sherwin Campbell 	शर्विन कैम्पबेल 
Bromo Tengger 	ब्रोमो टेनग्गर 
The oriya samaja 	द ओड़िया समाज 
Wajahatullah Wasti 	वजाहतुल्लाह वस्ती 
Abdur rahmaan 	अब्दुर रहमान 
Hum Hain Lajawab 	हम हैं लाजवाब 
Fort honswijk 	फोर्ट हॉन्सविज़्क 
Miss Manners 	मिस मेनर्स 
Narendra Hirwani 	नरेंद्र हिरवानी 
Douglas Hondo 	डग्लस होंडो 
Cervantes Prize 	सेरवैनटेस प्राइज़ 
Samsung Museum 	सैमसंग म्युज़ियम 
Siju Dobhakol 	सिजु दोभाकोल 
Laheri Jiwan 	लहरी जीवन 
Fort crown point 	फोर्ट क्राउन पॉइंट 
Assam tribune 	असम ट्रिब्यून 
Fort sainte anne 	फोर्ट सेंट एनी 
Miss Coca Cola 	मिस कोका कोला 
Oklahoma city 	ओक्लाहोमा सिटी 
Bethel Apostolic 	बेथेल अपोस्टोलिक 
Aage Badho 	आगे बढ़ो 
University of Technology 	यूनिवर्सिटी ऑफ टेक्नोलॉजी 
Echo German music award 	इको जर्मन म्युज़िक अवार्ड 
Shyaam Ki Jogan 	श्याम की जोगन 
Railway Museum of Athens 	रेल्वे म्युज़ियम ऑफ एथेन्स 
Thorarinsson Medal 	थोरारिंसन मेडल 
Fort columbia 	फोर्ट कोलंबिया 
Fort snelling 	फोर्ट स्नेलिंग 
Gross Ventre 	ग्रॉस वेंटर 
Birju Ustad 	बिरजू उस्ताद 
Tobacco Root 	टोबॅक्को रूट 
Jiyo To Aise Jiyo 	जियो तो ऐसे जियो 
Protection of Natural Amenities Medal 	प्रोटैक्शन ऑफ नैचुरल अमेनिटीस मेडल 
Williams Tower 	विल्यम्स टॉवर 
Syneron Medical 	सिनेरॉन मेडिकल 
Degana Junction 	देगाना जंक्शन 
Mahanagar Gas 	महानगर गैस 
Jantar Mantar 	जंतर मंतर 
Aap Ki Khatir 	आप की खातिर 
Nancy Reagan 	नैंसी रीगन 
Viareggio Prize 	वायरेगियो प्राइज़ 
University of Nevada 	यूनिवर्सिटी ऑफ नेवाडा 
Kanch Aur Heera 	काँच और हीरा 
Masta Fakir 	मस्त फकीर 
Tahmeena Durrani 	तहमीना दुर्रानी 
Steven Jack 	स्टीवन जैक 
Eldine Baptiste 	एल्डिन बैप्टिस्ट 
Gurudwara Maal Tekri 	गुरूद्वारा माल टेकरी 
La Porte 	ला पोर्ट 
Aadmi Khilona Hai 	आदमी खिलौना है 
Bk Of Rajasthan 	बैंक ऑफ राजस्थान 
Chifley Tower 	चिफ़्ले टॉवर 
Bhaga Junction 	भगा जंक्शन 
Beti Tumhare Jaisi 	बेटी तुम्हारे जैसी 
National Museum of American Indian 	नेशनल म्युज़ियम ऑफ अमेर‍िकन इंड‍ियन 
Aag Ka Gola 	आग का गोला 
Ek Misaal 	एक मिसाल 
Newdigate prize 	न्यूडिगेट प्राइज़ 
Hidayat Inayat Khan 	हिदायत इनायत खान 
Krishna Kanhaiya 	क़ृष्ण कन्हैया 
Ray Price 	रे प्राइस 
Alakh Niranjan 	अलख निरंजन 
Kaanch Ki Deewar 	काँच की दीवार 
Victoria Fossil 	विक्टोरिया फ़ॉसिल 
Rugby Union World Cup 	रग्बी यूनियन वर्ल्ड कप 
Takhat Shri Damdama Sahib, Banthida (Punjab) 	तखत श्री दमदमा साहिब, बनठिंडा (पंजाब) 
Johny I Love You 	जॉनी आई लव यू 
New Guinea 	न्यू गुएना 
Rain Calcining 	रेन कैल्सिंइंग 
Chapel bay battery fort 	चैपेल बे बैटरी फोर्ट 
Lincoln University 	लिंकन यूनिवर्सिटी 
K Sera Sera 	के सेरा सेरा 
Gainsari Junction 	गैनसारी जंक्शन 
Boy Friend 	बॉय फ्रेंड 
Vaishno Devi 	वैष्णो देवी 
Gurudwara Doulatpur Sahib 	गुरूद्वारा दौलतपुर साहिब 
Anand Ashram 	आनंद आश्रम 
Aakhri Insaaf 	आखिरी इंसाफ 
Colgate Palmolive India 	कोलगेट पॉमोलिव इंडिया 
