Hajgiri	ஹாஜ்கிரி
Aaqib	ஆகுப்
Clayton	கிளேடன்
Vince	வின்ஸ்
Hogg	ஹாக்
Devasheesh	தேவஷீஷ்
Shehar	ஷீஹார்
Aur	அவுர்
Sapna	சப்னா
Fort	ஃப்போர்ட்
william	வில்லியம்
Shaun	ஷௌன்
Simmond	சிம்மான்ட்
The	த
hindu	ஹிந்து
Vritti	விர்த்தி
Fort	ஃப்போர்ட்
scott	ஸ்காட்
Harisingaar	ஷரிசிங்கார்
Luana	லுவன்னா
Mujhe	முஜே
Jeene	ஜீனெ
Do	தோ
Tabla	தப்லா
Turkey	டர்க்கி
trot	டிராட்
Naubahar	நவ்பாஹர்
Romeo	ரோமியோ
Sumter	சும்டெர்
Raghibah	ரகிபா
Batuque	பாடுக்
Rangeela	ரங்கீலா
Raja	ராஜா
Rue	ருய்
Chastity	சேஸ்ட்டிட்டி
Mohabbat	மொஹபத்
Aur	அவுர்
Jung	ஜங்
Do	தோ
Dooni	தூனி
Char	சர்
Mahabal	மஹாபல்
Lambada	லம்பாடா
Scouts	ஸ்கௌட்ஸ்
Rodeo	ரோடியோ
Mac Donnell	மெக்டோனல்
Dan	டான்
David	டேவிட்
Prize	ப்ரைஸ்
Basava	பசவ
Sagar	சாகர்
Dam	டேம்
Khallad	காலாத்
Buddhism	புத்திஸம்
Vrahaspativaar	விராஹஸ்பதிவார்
Furkating	ஃபுர்காடிங்
Junction	ஜங்ஷன்
Phulbani	பூல்பானி
Mere	மேரெ
Bhagwan	பாக்வான்
Carmine	கேர்மைன்
Kodgu	கோட்கு
Sherin	ஷெரின்
Gomti	கோமதி
Ke	கே
Kinare	கினாரே
Husn	ஹஸன்
Ka	கா
Ghulam	குலாம்
Schock	ஷோக்
Prize	ப்ரைஸ்
in	இன்
Mathematics	மேத்தமேட்டிக்ஸ்
Finola	ஃபினோலா
Renu	ரேணு
Kerinci	கெரின்சி
Seblat	செப்லாத்
Sidki	சித்கி
Guneru	குணேரு
Bamori	பமோரி
Wolf	உல்ஃப்
Prize	ப்ரைஸ்
in	இன்
Mathematics	மேத்தமேட்டிக்ஸ்
Lewis	லூயிஸ்
Farrakhan	ஃபாராகான்
Jeet	ஜீத்
Hamari	ஹமாரி
Dainik	டைனிக்
jugasankha	ஜுகாசன்கா
Labangalata	லபன்கலாதா
John	ஜான்
Paul	பால்
Getty	கெட்டி
Asli	அஸ்லி
Naqli	நக்லி
Abdul	அப்துல்
wahhab	வாஹ்ஹப்
Tamas	டமாஸ்
Aderyn	அடெரின்
Motor	மோட்டார்
Racing	ரேசிங்
Gisela	கிசேலா
Museum	மியூஸியம்
of	ஆஃப்
Modern	மாடர்ன்
Art	ஆர்ட்
Anany	அனன்ய்
Husn	ஹஸன்
Aur	ஔர்
Ishq	இஷ்க்
Bisla	பிஸ்லா
Valtina	வல்டினா
Shaqeeqah	ஷகீகா
Nasbandi	நாஸ்பந்தி
Chacha	ச்சாச்சா
Zindabad	ஜிந்தாபாத்
Sultani	சுல்தானி
Harisingar	ஹரிசிங்கர்
Afsana	அஃப்சானா
Pyar	பியார்
Ka	கா
Titicaca	டிட்டிகாகா
Rodney	ரோட்னி
Dennis	டென்னிஸ்
Lillee	லில்லீ
Shravani	ஷரவனி
Birla	பிர்லா
Nadaleen	நதலீன்
Larchmont	லர்ச்மோண்ட்
Avenue	அவென்யு
Princess	பிரின்சஸ்
Royal	ராயல்
Anasah	அனாஸா
Abdus	அப்துஸ்
shakoor	ஷாகூர்
Silver	சில்வர்
Tarun	தருன்
bharat	பாரத்
Dahar	தாஹர்
Ka	கா
Balaji	பாலாஜி
Richard	ரிச்சர்ட்
Sims	சிம்ஸ்
Jimmy	ஜிம்மி
Hendricks	ஹென்ரிக்ஸ்
Deshalpar	தேஷல்பர்
Martine	மார்ட்டின்
Lal	லால்
Batti	பாட்டி
Raat	ராத்
Andheri	அன்தேரி
Thi	தி
Peter	பீட்டர்
Toohey	டூஹே
Kupwada	குப்வாதா
Dexter	டெக்ஸ்டர்
Shaun	ஷுவான்
Udal	உடால்
Vanhishikha	வன்ஹிஷிகா
Gogia	கோகியா
Romeo	ரோமியோ
Juliet	ஜூலியட்
Isabelle	இசாபெல்
John	ஜான்
Bracewell	பிரேஸ்வெல்
Vibhaa	விபா
Ek	ஏக்
Din	தின்
Aadhi	ஆதி
Raat	ராத்
Dulhan	துல்ஹன்
Wohi	வோஹி
Jo	ஜோ
Piya	பியா
Man	மன்
Bhaye	பாயே
Roentgenium	ரோஏன்ட்ஜீனியம்
Michael	மைக்கல்
Clarke	கிளார்க்
Dudhia	டுத்தியா
Khurd	குர்த்
Merch	மெர்ச்
Gundappa	குன்டப்பா
Viswanath	விஸ்வனாத்
Rik	ரிக்
Indraja	இந்திரஜா
Malhan	மல்ஹான்
Dindigul	திண்டுக்கல்
Junction	ஜங்ஷன்
Paul	பால்
and	அண்ட்
Alexandra	அலெக்ஸாடிரா
Canellopoulos	கானெல்லோபோலோஸ்
Museum	மியூஸியம்
Mradul	ம்ரடுல்
Dukh	துக்
Dard	தர்த்
Abril	எப்ரில்
Ghar	கர்
Ho	ஹோ
To	தோ
Aisa	அயிசா
Zeya	ஸெயா
Nellur	நெல்லூர்
Satya	சத்யா
Fawzan	ஃபாவ்ஸான்
Vermont	வெர்மாண்ட்
Charlie	சார்லி
Lock	லாக்
Bob	பாப்
Hope	ஹோப்
Samtel	சாம்டெல்
Color	கலர்
Khatta	கத்தா
Meetha	மீத்தா
Mahrajganj	மஹ்ராஜ்கன்ஞ்
Honda	ஹோன்டா
Motor	மோட்டார்
Vyas	வியாஸ்
Shivaa	ஷிவா
Dominican	டாமினிக்கன்
merengue	மெரென்க்
Warrick	வாரிக்
Borgaonkar	போர்காவூன்கர்
Chandok	சந்தோக்
Gordy	கார்டி
Raipur	ரைபூர்
Saahas	சாஹஸ்
Goneana	கொனியேனா
Pehli	பெஹ்லி
Shadi	ஷாதி
Kantele	கன்டிலி
Order	ஆர்டர்
of	ஆஃப்
the	தி
Redeemer	ரீடீமர்
Kaydence	கேடென்ஸ்
Aan	ஆன்
Milo	மிலோ
Sajna	சாஜ்னா
Pragyawati	ப்ரக்யவதி
Magnificent	மாக்னிஃப்பீசெண்ட்
Baligh	பாலிக்
Vaigai	வைகை
Reservoir	ரிசர்வாயர்
Napoleon	நெப்போலியன்
Bonaparte	போனபார்ட்
Refugee	ரெஃப்யூஜீ
Char	சார்
Darvesh	தர்வேஷ்
Maa	மா
Ki	கி
Saugandh	செளகந்த்
Marghoob	மர்கூப்
Rashid	ரஷித்
Patel	பட்டேல்
John	ஜான்
Jameson	ஜேம்ஸன்
Chand	சந்த்
Siau	சியாவு
Sanghod	சங்கோத்
Stephan	ஸ்டிஃபன்
Vin	வின்
Khanna	கண்ணா
Sir	சர்
Garry	கேரி
Sobers	சோபர்ஸ்
Swanson	ஸ்வான்சன்
Compugen	காம்பூஜென்
Fipple	ஃபிப்பில்
Milwaukee	மில்வாவ்கி
Sulakshana	சுலக்ஷனா
Elle	எல்
Hum	ஹம்
Dono	தோனோ
Laurel	லாரல்
Fiorello	ஃபியோரெல்லோ
Haadsa	ஹாட்சா
Obayashi	ஓபேயாஷி
Viribus	விரிபஸ்
Unitis	யூனிடிஸ்
Bewafai	பேவஃப்பை
Marvin	மர்வின்
Governor	கவர்னர்
General's	ஜெனரல்ஸ்
Award	அவார்ட்
Manzoor	மன்சூர்
Elahi	இலாஹி
Prem	பிரேம்
Ki	கி
Devi	தேவி
Paraas	பராஸ்
Ek	ஏக்
Teri	தேரி
Nishani	நிஷானி
Ewa	ஈவா
Detroj	தேட்ரோஜ்
Kimber	கிம்பர்
Eknath	எக்னாத்
Solkar	சோல்கார்
British	ப்ரிட்டிஷ்
Chromium	க்ரோமியம்
Dyan	த்யான்
Panesar	பனேசர்
Jahangir	ஜஹாங்கிர்
Shah	ஷா
Pyaara	பியாரா
Tarana	தரானா
Jeevankala	ஜீவன்கலா
Abhir	அபிஹிர்
Oriana	ஓரியானா
Bing	பிங்
Crosby	க்ராஸ்பி
Achand	அசந்த்
Shariqah	ஷரிகா
Desh	தேஷ்
Premee	பிரேமீ
Him	ஹிம்
Gyan	ஞான்
Kodaganar	கோடகனர்
Reservoir	ரிசர்வாயர்
Koi	கொய்
Ghulam	குலாம்
Nahin	நாஹின்
Bellsouth	பெல்சௌத்
Andar	அந்தர்
Bahar	பாஹர்
Samrat	சம்ரத்
Chandragupt	சந்திரகுப்த்
Miss	மிஸ்
Toofan	டூஃப்பன்
Mail	மெயில்
Haskell	ஹாஸ்கெல்
Vilmaris	வில்மாரிஸ்
Brittany	பிரிட்டனி
Foolan	ஃபூளான்
Fynn	ஃபின்
Shabri	ஷப்ரி
Redpath	ரெட்பாத்
Museum	மியூஸியம்
Prita	ப்ரீதா
Lancaster	லான்காஸ்டர்
Pakkhoke	பக்கோகே
Bahlawan	பஹல்வான்
Erie	ஈரி
Hum	ஹம்
Tere	தேரே
Ashiq	ஆஷிக்
Hain	ஹெயின்
Milan	மிலன்
Ki	கி
Raat	ராத்
Do	தோ
Ustaad	உஸ்தாத்
Bhola	போலா
Shankar	ஷங்கர்
Khasgiwale	காஸ்கிவாலே
Robin	ராபின்
Brown	ப்ரவுன்
Gujrat	குஜராத்
Chakk	சாக்
Appu	அப்பு
Raja	ராஜா
Qayamat	கயாமத்
Ki	கி
Raat	ராத்
National	நேஷனல்
Musem	மியூஸியம்
Of	ஆஃப்
Korea	கொரியா
Jawara	ஜவாரா
Balaraam	பலராம்
Everly	எவர்லி
Ganga	கங்கா
Tera	தேரா
Pani	பாணி
Amrit	அம்ரித்
Badhada	பதாடா
Lin	லின்
Valora	வலோரா
Score	ஸ்கோர்
Bowden	பெளடென்
Deshmukh	தேஷ்முக்
Wally	வாலி
Bagula	பகுலா
Bhagat	பகத்
Karorepati	கரோர்பதி
Tassos	டாஸோஸ்
Heeraa	ஹீரா
Kashmakash	கஷ்மகஷ்
Sundarbans	சுந்தர்பான்ஸ்
Dildar	தில்தர்
Della	டெல்லா
Keer	கீர்
Sher	ஷேர்
Shivaji	ஷிவாஜி
Yeshiva	யெஷிவா
University	யூனிவர்சிட்டி
Museum	மியூஸியம்
Jawani	ஜவானி
Ke	கே
Gunah	குணா
Bargarh	பர்கார்
Road	ரோட்
Menard	மெனார்ட்
Vera	வெரா
Arad	அராத்
fort	ஃப்போர்ட்
Joanne	ஜோன்னி
Koruna	கோருனா
Fort	ஃப்போர்ட்
grange	கிரான்ஜ்
Baalamani	பாலமணி
Marietta	மரீட்டா
Banasandra	பானாசண்ட்ரா
Ghumman	கும்மன்
Kaun	கோன்
Apana	அபானா
Kaun	கோன்
Paraya	பராயா
Freddie	பிரட்டி
Mac	மேக்
Alvarion	அல்வாரியான்
Masood	ஃபைசால்
Iqbal	இக்பால்
Champa	சம்பா
Kathmandu	காத்மண்டு
Ujaalaa	உஜாலா
Pritzker	ப்ரிட்ஸ்கெர்
Prize	ப்ரைஸ்
Borneo	பார்னியோ
Hera	ஹிரா
Gurudwara	குருத்வாரா
Bibeksar	பிபேக்சர்
Dharnaoda	தர்னோடா
Taruna	தருணா
Ek	ஏக்
Duje	துஜே
Ke	கே
Liye	லியே
Maa	மா
Bahen	பாஹென்
Aur	அவுர்
Biwi	பீவி
Rane	ரானே
Brake	ப்ரேக்
Reprisal	ரிபிரைசல்
Carlisle	கார்லிஸ்லெ
Kalra	கல்ரா
Dalmia	டால்மியா
Cement	சிமெண்ட்
Shabash	ஷபாஷ்
Daddy	டாடி
Doiwala	டோய்வாலா
Hena	ஹெனா
Muhammadee	முஹம்மதி
Mark	மார்க்
Benson	பென்சன்
Beed	பீட்
Kera	கேரா
Fort	ஃப்போர்ட்
borstal	பொர்ஸ்டல்
Niggly	நிக்லி
Dohollah	டோஹோல்லா
IndusInd	இண்டஸ்இண்ட்
Bank	பேங்க்
Yatishwar	யதிஷ்வர்
Burdah	புர்தா
Fort	ஃப்போர்ட்
rigolet	ரிகோலெட்
Aiye	ஆயே
Lenawee	லினாவீ
Suru	சுரு
Nayak	நாயக்
Baghi	பாகி
Sipahi	சிபாஹி
Achalendra	அச்சலேந்திரா
American	அமெரிக்கன்
International	இன்டர்நேஷனல்
Building	பில்டிங்
Do	தோ
Qaidi	கய்தி
Ashivan	அஷ்வான்
Dehlo	டெஜ்லோ
Parveen	பர்வீன்
Ek	ஏக்
Baar	பார்
Chale	சாலே
Aao	ஆவோ
Morphy	மார்ஃபி
Richards	ரிச்சர்ட்ஸ்
Jaayen	ஜாயேன்
To	தோ
Jaayen	ஜாயேன்
Kahan	கஹான்
Bhende	பெந்தே
Kyushu	கியூஷு
Delhi	டெல்லி
Cantonment	கண்டோன்மெண்ட்
George	ஜார்ஜ்
Kolbe	கோல்ப்
Museum	மியூஸியம்
Tapan	தபன்
Aaqib	அகிப்
Javed	ஜாவெத்
Balearic	பலியேரிக்
Thunderer	தன்டெரர்
Dow	டொவ்
Chemical	கெமிக்கல்
Apne	அப்னே
Dushman	துஷ்மன்
Paaras	பாரஸ்
Chakri	சக்ரி
Nareubet	நாரேய்பெட்
Winfield	வின்ஃபீல்ட்
Kusumavati	குசுமாவதி
Kunjar	குஞ்சர்
putree	புத்ரீ
Roti	ரோட்டி
Kapada	கபாடா
Aur	அவுர்
Makan	மகான்
Pearse	பியர்ஸ்
Museum	மியூஸியம்
Shameem	ஷமீம்
Sudeshna	சுதேஷ்னா
Dinesh	தினேஷ்
Karthik	கார்த்திக்
Dil	தில்
Leda	லேடா
Aligarh	அலிகார்
Junction	ஜங்ஷன்
Warangal	வாராங்கல்
Fionnula	ஃபியோனுலா
Hathyaar	ஹத்யார்
Aayushman	ஆயுஷ்மான்
Chapada	சாபாடா
dos	டாஸ்
Guimaraes	குய்மாரேஸ்
Mahindra	மஹிந்த்ரா
United	யுனைடெட்
World	வோர்ல்ட்
College	காலேஜ்
of	ஆஃப்
India	இண்டியா
Chamila	சமிலா
Gamage	கமகே
Hum	ஹம்
Kahan	கஹான்
Ja	ஜா
Rahe	ராஹே
Hain	ஹெயின்
Poonam	பூனம்
Theodore	தியோதர்
Dreiser	ட்ரீசர்
Chemancheri	செம்மஞ்சேரி
Chandan	சந்தன்
Nagar	நகர்
Pothohar	போதோஹர்
Sundha	சுந்தா
Ambup	அம்புப்
Ambur	ஆம்பூர்
Dell	டெல்
Satywan	சத்யவான்
Savitri	சாவித்ரி
Abhayananda	அபயானந்தா
Chalis	சாலிஸ்
Baba	பாபா
Ek	ஏக்
Chor	சோர்
Pamelia	பமீலியா
Rajendra	ராஜேந்திர
Mohan	மோஹன்
Bhatnagar	பட்னாகர்
Little	லிட்டல்
fort	ஃப்போர்ட்
Patang	பதங்
Meitnerium	மெய்ட்னெரியம்
Kal	கல்
Hamara	ஹமாரா
Hai	ஹை
Mishima	மிஷிமா
Yukio	யூக்கியோ
Prize	ப்ரைஸ்
Hum	ஹம்
Se	சே
Na	நா
Jeeta	ஜீதா
Koi	கோய்
Heriot-Watt	ஹெரியோட்-வாட்
University	யூனிவர்சிட்டி
Cliff	கிளிஃப்
Dhanakya	தனக்யா
Dewalgaon	தேவல்காவுன்
Olesia	ஓலிஷியா
Keitha	கேய்தா
Paheli	பஹெலி
Fender	ஃபெண்டர்
Rhodes	ரோட்ஸ்
Ujjain	உஜ்ஜைன்
Sandhyanand	சந்தியானந்த்
Jadu	ஜாடு
Mahal	மஹல்
Do	தோ
Khiladi	கிலாடி
Bexar	பெக்ஸார்
Dion	டியான்
Ebrahim	இப்ராஹிம்
Order	ஆர்டர்
of	ஆஃப்
the	தி
White	ஒயிட்
Lion	லயன்
Kustubh	குஸ்துப்
Anandpur	ஆனந்த்பூர்
Sahib	சாஹிப்
Navin	நவீன்
Ved	வேத்
maatrakaa	மாத்ரகா
Fort	ஃப்போர்ட்
bij	பிஜ்
asperen	ஆஸ்பெரென்
Vajraachaary	வஜ்ராசாரி
Jeevan	ஜீவன்
Mrityu	மிருத்யு
Dhirganj	தீர்கஞ்ச்
Gayda	கய்டா
Gunwanti	குன்வன்தி
Jnyaneshwar	ஞானேஸ்வர்
Vishaya	விஷயா
Fort	ஃப்போர்ட்
dix	டிக்ஸ்
Ranaveer	ரனவீர்
Gopinath	கோபிநாத்
Mohanti	மொஹந்தி
San	சன்
Francisco	பிரான்சிஸ்கோ
Oakland	ஓக்லேண்ட்
Bay	பே
Khadakwasla	கடக்வஸ்லா
Bela	பேலா
Ritvik	ரித்விக்
Fort	ஃப்போர்ட்
marlborough	மார்ல்போராக்
Ajooba	அஜூபா
Dassault	டசவுல்ட்
Systems	ஸிஸ்டம்ஸ்
Taliesin	டாலிஸின்
Saggu	சாகு
Saint	செயிண்ட்
Stanislaus	ஸ்டானிஸ்லாஸ்
High	ஹை
School.	ஸ்கூல்,
Mumbai	மும்பை
Paapi	பாபி
Sansar	சன்ஸார்
Jasodhara	ஜஸோதரா
Giriraaj	கிரிராஜ்
Agape	அகபே
Eric	எரிக்
Upashantha	உபஷாந்தா
Nasia	நாஸியா
Fort	ஃப்போர்ட்
henry	ஹென்ரி
Mena	மேனா
Barqi	பார்கி
Atri	அட்ரி
Love	லவ்
In	இன்
Simla	சிம்லா
Northwood	நார்த்வுட்
University	யூனிவர்சிட்டி
Peace	பீஸ்
Lutheran	லுதெரன்
Chosla	சோஸ்லா
Shataayu	ஷதாயு
Anupam	அனுபம்
Wolf	உல்ஃப்
Prize	ப்ரைஸ்
in	இன்
Arts	ஆர்ட்ஸ்
The	த
asian	ஏஷியன்
age	ஏஜ்
Takeda	தகேடா
Award	அவார்ட்
Vraksharaaj	விரக்ஷராஜ்
Ajmani	அஜ்மானி
Do	தோ
Shikari	ஷிகாரி
Jeff	ஜெஃப்
Mahaaksh	மஹாக்ஷ்
Jeff	ஜெஃப்
Bridges	பிரிட்ஜஸ்
Step	ஸ்டெப்
Quraybah	குரேபாஹ்
Julien	ஜூலியன்
Wiener	வியனெர்
Naqid	நாகித்
Rhiannon	ரயன்னன்
Cairbre	கைர்ப்ர்
Aajinky	ஆஜிங்கி
Sadanand	சதானந்த்
Neil	நேய்ல்
Fairbrother	ஃப்பேர்பிரதர்
Channery	சான்னெரி
In'am	இன்'ஆம்
Abhr	அப்ஹ்ர்
Jawhar	ஜவஹர்
Albert	அல்பர்ட்
Canara	கனரா
Bank	பேங்க்
Cherry	செர்ரி
Carl	கார்ல்
Bulfin	பலஃப்பின்
Balance	பேலன்ஸ்
Beam	பீம்
Karnik	கார்னிக்
Mah	மஹிந்த்ரா
Seamless	சீம்லெஸ்
Rishta	ரிஷ்டா
Kagaz	காகாஸ்
Ka	கா
Devastation	டிவெஸ்டேஷன்
Ghungroo	குங்ரூ
Ki	கி
Awaz	ஆவாஸ்
Dalai	டலாய்
Lama	லாமா
Spector	ஸ்பெக்டர்
General	ஜெனரல்
George	ஜார்ஜ்
Castro	கேஸ்ட்ரோ
Amara	அமரா
Azra	அஸ்ரா
Niranjana	நிரஞ்சனா
Mera	மேரா
Munna	முன்னா
Denise	டெனிஸ்
Trieste	ட்ரையஸ்டெ
Football	ஃபுட்பால்
Takiuddeen	தக்கியுதீன்
Andralyn	ஆன்டிராலின்
Badriyah	பத்ரியா
Dev	தேவ்
kumar	குமார்
Gurudwara	குருத்வாரா
Falahi	ஃபலாஹி
Sahib	சாஹிப்
Toofan	தூஃப்பன்
Rani	ராணி
Aryankavu	ஆரியன்காவு
Nityanand	நித்யானந்த்
Jajpur	ஜஜ்பூர்
Ciel	சியல்
Akutagawa	அகூடகாவா
Prize	ப்ரைஸ்
Bratsk	பிரத்ஸ்க்
Guntur	கூன்டூர்
Subhashini	சுபாஷினி
Australian	ஆஸ்ட்ரேலியன்
Open	ஓபன்
champions	சாம்பியன்ஸ்
Advaki	அத்வாகி
Yamamah	யமமா
Vaageeshvar	வாகீஷ்வர்
Ryan	ரியான்
Ramdass	ராம்தாஸ்
Jupiter	ஜூப்பிட்டர்
Edwin	எட்வின்
Allegheny	அல்லேகேனி
Jaipur	ஜெய்பூர்
Tariqah	தாரிகா
Diwankhavati	திவான்காவதி
Hosanna	ஹோஸன்னா
Lutheran	லுதெரன்
Chand	சந்த்
Chakori	சகோரி
Madras	மெட்ராஸ்
Jasrah	ஜஸ்ரா
Achaarynandanaa	ஆசார்யானான்தனா
Zakhmi	ஸாக்மி
Sher	ஷெர்
Kaaran	காரன்
Nadir	நாதிர்
Malise	மேலிஸ்
Pierrette	பியரெட்
Cellebes	செல்லபெஸ்
Phazom	ஃபாஸூம்
Chanpatia	சன்பாடியா
Nishan	நிஷான்
Danka	தன்கா
Ray	ரே
Illingworth	இல்லிங்வர்த்
Naspers	நாஸ்பெர்ஸ்
Limited	லிமிடெட்
Maharashtra	மஹாராஷ்ட்ரா
Fil	ஃபில்
Donnanview	டோனன்வியூ
Vincent	வின்சென்ட்
Alan	அலன்
Wells	வெல்ஸ்
Ponkshe	பொன்ஷே
Dampati	தம்பதி
Pyar	பியார்
Ke	கே
Do	தோ
Char	சார்
Din	தின்
Aanandini	ஆனந்தினி
Chetan	சேட்டன்
Chauhan	சவ்ஹான்
Jagte	ஜக்தே
Raho	ராஹோ
Singaar	சிங்கார்
Gurbachan	குர்பாச்சான்
Peruvaripallam	பெருவாரிபள்ளம்
Aap	ஆப்
Ki	கி
Parchhaiyan	பரிச்சாயின்
Rekhaa	ரேகா
Cathedral	கத்தீட்ரல்
and	அண்ட்
John	ஜான்
Connon	கனான்
School,	ஸ்கூல்,
Mumbai	மும்பை
Flamel	பிளேமல்
Technologies	டெக்னாலஜீஸ்
Devprayag	தேவ்பிரயாக்
Suffren	சாஃப்பிரென்
Sajid	சஜித்
Ali	அலி
Zamane	ஸமானெ
Ko	கோ
Dikhana	டிகானா
Hai	ஹை
Traci	ட்ராசி
Publix	பப்ளிக்ஸ்
Super	சூப்பர்
Markets	மார்க்கெட்ஸ்
Indraprastha	இந்த்ரப்ரஸ்தா
Albina	அல்பினா
Tiaa	தியா
Cref	கிரெப்
Bonnet	போனட்
Plume	பிளம்
Night	நைட்
Bird	பேர்ட்
Fort	ஃப்போர்ட்
buchanan	புச்சானான்
Clementine	கிளெமண்டைன்
Tuscarora	டஸ்வாரோரா
War	வார்
Haafiz	ஹாஃபிஸ்
Shahid	ஷாஹித்
Sarakatsanoi	சராகோட்சனாய்
Folklore	ஃப்போக்லோர்
Museum	மியூஸியம்
Fausta	ஃபாஸ்டா
Stillman	ஸ்டில்மன்
Lander	லான்டெர்
Samadhi	சமாதி
Latika	லதிகா
Robbie	ராபி
Hart	ஹார்ட்
Angarikaa	அங்கரிக்கா
Aurelia	ஆரேலியா
Chhatrapati	சத்திரபதி
Shivaji	சிவாஜி
Diler	திலேர்
Hanwha	ஹான்வா
Abey	அபே
Kuruvilla	குருவில்லா
Banarasi	பனாரசி
Thug	துக்
Is	இஸ்
Paar	பார்
Ya	யா
Us	உஸ்
Paar	பார்
Laalakamal	லாலகமல்
Central	சென்ட்ரல்
Michigan	மிச்சிகன்
University	யூனிவர்சிட்டி
Yaatna	யாத்னா
Felis	ஃபெலிஸ்
Shelf	ஷெல்ஃப்
Qiagen	கியாஜென்
Algiers	அல்ஜியர்ஸ்
Sagar	சாகார்
Ka	கா
Sher	ஷெர்
Paying	பேயிங்
Guest	கெஸ்ட்
Kainji	கைன்ஜி
dam	டேம்
Andheri	அந்தேரி
Thaminah	தமீனா
Meri	மேரி
Zubaan	ஸுபான்
Khulud	குலுத்
Gehra	கெஹ்ரா
Raaz	ராஸ்
David	டேவிட்
Gower	கோவெர்
Bolangir	பொலான்கிர்
Raat	ராத்
Ke	கே
Andhere	அன்தேரே
Mein	மேன்
Lavina	லவினா
Bhagwat	பகவத்
Mahima	மஹிமா
Bombay	பாம்பே
Town	டவுன்
Sanath	சனத்
Kaluperuma	கலுபெருமா
Devnath	தேவ்நாத்
Lut	லுத்
Krone	க்ரோன்
Murchison	முர்சிசன்
Falls	ஃபால்ஸ்
Krona	க்ரோணா
Do	தோ
Premee	பிரேமீ
Dhadial	தாதியால்
Order	ஆர்டர்
of	ஆஃப்
Industrial	இண்டஸ்ட்ரியல்
Merit	மெரிட்
Michael	மைக்கல்
Slater	ஸ்லேடர்
Fujitsu	ஃபுஜிட்ஸு
Meritorious	மெரிடோரியஸ்
Service	சர்வீஸ்
Medal	மெடல்
Pakhewal	பகேவால்
Mandape	மன்டபே
Perrier	பெர்ரியர்
Comedy	காமெடி
Award	அவார்ட்
Karunamay	கருணாமாய்
Hum	ஹம்
Ek	ஏக்
Hain	ஹெயின்
Oud	ஔட்
Misbah	மிஸ்பா
Nanda	நந்தா
Devi	தேவி
Abdul	அப்துல்
muhaymeen	முஹாய்மீன்
Sri	ஸ்ரீ
Adhikari	அதிகாரி
Bhawani	பவானி
Bhattacharya	பட்டாச்சார்யா
Awara	ஆவாரா
Baap	பாப்
Prakaash	பிரகாஷ்
Deanna	டீயனா
Aulad	ஔலத்
Ke	கே
Dushman	துஷ்மன்
Gangsar	கங்ஸார்
Jaitu	ஜெய்டூ
Onkar	ஒன்கார்
Narendra	நரேந்திரா
Hirwani	ஹிர்வானி
Bhoke	போக்கே
El	எல்
Horria	ஹோரியா
Michael	மைக்கேல்
Crichton	க்ரிச்டன்
Akeel	அகீல்
Hamdard	ஹம்தார்த்
Fdederated	பெட்டரேட்டட்
Dept	டெப்ட்
Stor	ஸ்டோர்
Indika	இண்டிகா
de	டி
Saram	சரம்
Lilac	லிலக்
Guide	கைட்
Arab	அரப்
Ka	கா
Sitara	சிதாரா
Gaddu	காட்டு
Shiela	ஷீலா
Sonpur	சோன்பூர்
Valli	வாலி
Main	மேன்
Chup	சுப்
Rahungi	ரஹூங்கி
Sukhija	சுகிஜா
Michael	மைக்கேல்
Mason	மேசன்
Ahmed	அஹ்மத்
ar-Rifai	அர்-ரிஃப்பை
Bilhaur	பில்ஹாவுர்
Dheera	தீரா
Ammarah	அம்மாரா
Evelia	ஈவ்லியா
Madam	மேடம்
Zapatta	ஸாபாட்டா
Cranfield	க்ரான்ஃபீல்ட்
University	யூனிவர்சிட்டி
Dheena	தீனா
Umeed	உமீத்
Seanna	சியன்னா
Phool	ஃப்பூள்
Khile	கிளே
Hain	ஹைன்
Gulshan	குல்ஷான்
Gulshan	குல்ஷான்
Haleef	ஹலீஃப்
Pavitr	பவித்ர
Yogeey	யோகீ
Night	நைட்
Club	கிளப்
Prabodh	ப்ரபோத்
Chandra	சந்திரா
Darrin	டாரின்
Murray	முர்ரே
Dilawarnagar	திலவார்நகர்
Caradoc	காரடாக்
Agasti	அகஸ்தி
Afasara	அஃபசாரா
Vitankar	விதன்கர்
Stride	ஸ்ட்ரைட்
Arcolab	ஆர்கோலேப்
Guddi	குத்தி
Dixon	டிக்சன்
Kismat	கிஸ்மத்
Ka	கா
Sitara	சிதாரா
Diane	டையேன்
Mark	மார்க்
Higgs	ஹிக்ஸ்
Navrangpur	நவ்ராங்பூர்
Fitness	ஃபிட்னஸ்
Sodium	சோடியம்
Haneef	ஹனீஃப்
Barks	பார்க்ஸ்
Atreya	அட்ரேயா
Seymour	செய்மோர்
Jansatta	ஜான்சாட்டா
Dyani	ட்யானி
Feinstein	ஃபெயின்ஸ்டின்
Mel	மெல்
Gibson	கிப்சன்
Beti	பேடி
Bete	பேடி
Santushti	சந்துஷ்டி
Indubriht	இந்துபிரிஹ்த்
China	சீனா
Grentech	கிரென்டெக்
Corporation	கார்ப்பரேஷன்
Limited	லிமிடெட்
Jaureguiberry	ஜவ்ரேகுபெர்ரி
Tim	டிம்
Bresnan	பிரெஸ்னான்
Kirayedar	கிராயெதார்
Abdul	அப்துல்
barr	பார்
Jeetan	ஜீட்டன்
Patel	பட்டேல்
Dholka	தோல்கா
