Spingarn	ಸ್ಪಿನ್‌ಗರ್ನ್
Birla	ಬಿರ್ಲಾ
Larchmont	ಲಾರ್ಚ್‌ಮಾಂಟ್
Avenue	ಅವೆನ್ಯೂ
Church	ಚರ್ಚ್
of	ಆಫ್
the	ದ
Open	ಓಪನ್
Door	ಡೋರ್
Silver	ಸಿಲ್ವರ್
Akosombo	ಅಕೋಸೋಂಬೋ
Dam	ಡ್ಯಾಮ್
Amritlal	ಅಮೃತಲಾಲ್
nagar	ನಗರ್
Iodine	ಅಯೋಡಿನ್
Hanfa	ಹನ್ಫಾ
Presidential	ಪ್ರೆಸಿಡೆನ್ಶಿಯಲ್
Medal	ಮೆಡಲ್
of	ಆಫ್
Freedom	ಫ್ರೀಡಂ
Fort	ಫೋರ್ಟ್
sheffield	ಶೆಫಿಲ್ಡ್
Lal	ಲಾಲ್
Batti	ಬತ್ತಿ
Raat	ರಾತ್
Andheri	ಅಂಧೇರಿ
Thi	ಥಿ
Reed	ರೀಡ್
Ayyappan	ಅಯ್ಯಪ್ಪನ್
Kermit	ಕೆರ್ಮಿಟ್
Saanch	ಸಾಂಚ್
Ko	ಕೋ
Aanch	ಆಂಚ್
Nahin	ನಹೀ
Shaun	ಶಾನ್
Udal	ಉಡಾಲ್
Vanhishikha	ವನ್ಶಿಕಾ
Abdul	ಅಬ್ದುಲ್
qayyoom	ಕಯ್ಯೂಮ್
Romeo	ರೋಮಿಯೋ
Juliet	ಜುಲಿಯಟ್
Gyaanaprakaash	ಜ್ಞಾನಪ್ರಕಾಶ್
Ek	ಏಕ್
Phool	ಪೂಲ್
Char	ಚಾರ್
Kante	ಕಾಂಟೆ
Roentgenium	ರೋಂಟ್‌ಜೀನಿಯಂ
Order	ಆರ್ಡರ್
of	ಆಫ್
Reverence	ರೆವೆರೆನ್ಸ್
Michael	ಮೈಕೇಲ್
Clarke	ಕ್ಲಾರ್ಕ್
George	ಜಾರ್ಜ್
Weston	ವೆಸ್ಟನ್
Potdar	ಪೋತದಾರ
Gumnaam	ಗುಮ್ನಾಮ್
Bijolia	ಬಿಜೋಲಿಯಾ
Rik	ರಿಕ್
Fort	ಫೋರ್ಟ್
hawkins	ಹಾಕಿನ್ಸ್
Dindigul	ದಿಂಡಿಗಲ್
Junction	ಜಂಕ್ಷನ್
Andher	ಅಂಧೆರ್
Nagari	ನಗರೀ
Chapat	ಚೌಪಟ್
Raja	ರಾಜಾ
Agostino	ಅಗೋಸ್ಟಿನೋ
Paul	ಪಾಲ್
and	ಅಂಡ್
Alexandra	ಅಲೆಕ್ಸಾಂಡ್ರಾ
Canellopoulos	ಕ್ಯಾನೆಲೊಪೊಲಾಸ್
Museum	ಮ್ಯೂಸಿಯಂ
Agosh	ಆಗೋಶ್
Amaatullah	ಅಮಾತುಲ್ಲಾ
Nellur	ನೆಲ್ಲೂರ್
Dadwal	ಡಡವಾಲ್
Sholayar	ಶೋಲಾಯರ್
Reservoir	ರಿಜರ್ವಾಯರ್
Dhari	ಧಾರೀ
Junction	ಜಂಕ್ಷನ್
Bob	ಬಾಬ್
Hope	ಹೋಪ್
Samtel	ಸ್ಯಾಮ್‌ಟೆಲ್
Color	ಕಲರ್
Rhone	ರೋನ್
Amajad	ಅಮಜದ್
Atacama	ಅಟಾಕಾಮಾ
Bharadwaj	ಭಾರದ್ವಾಜ್
Prakat	ಪ್ರಕಟ
Canon	ಕೆನನ್
del	ಡೆಲ್
Sumidero	ಸುಮಿಡೆರೊ
Warrick	ವಾರಕ್
Borgaonkar	ಬೋರಗಾವಕರ್
Chandok	ಚಂದೋಕ್
Gadagad	ಗದಾಗದ್
Shivaraam	ಶಿವರಾಮ
Graeme	ಗ್ರೇಮ್
Smith	ಸ್ಮಿತ್
Shantanu	ಶಾಂತನು
Vairaaj	ವೈರಾಜ್
Saahas	ಸಾಹಸ್
Goneana	ಗೊನೀಯಾನಾ
Kanpur	ಕಾನ್ಪುರ್
Order	ಆರ್ಡರ್
of	ಆಫ್
the	ದ
Redeemer	ರೆಡೀಮರ್
Edaline	ಎಡಲಿನ್
Aan	ಆನ್
Milo	ಮಿಲೋ
Sajna	ಸಜನಾ
Siyasat	ಸಿಯಾಸತ್
Baligh	ಬಲಿಗ್
University	ಯುನಿವರ್ಸಿಟಿ
of	ಆಫ್
Ballarat	ಬಲಾರಟ್
Jahan	ಜಹಾನ್
Ara	ಅರಾ
Main	ಮೈ
Hoon	ಹೂ
Jadugar	ಜಾದೂಗರ್
Library	ಲೈಬ್ರರಿ
of	ಆಫ್
Congress	ಕಾಂಗ್ರೆಸ್
Living	ಲಿವಿಂಗ್
Legend	ಲೆಜೆಂಡ್
Chipurupalle	ಚಿಪುರುಪಲ್ಲಿ
Mukilteo	ಮುಕಿಲ್ಟಿವೊ
Presbyterian	ಪ್ರೆಸ್ಬಿಟೇರಿಯನ್
Pehchan	ಪಹಚಾನ್
John	ಜಾನ್
Jameson	ಜೇಮ್ಸನ್
Citigroup	ಸಿಟಿಗ್ರೂಪ್
Uttar	ಉತ್ತರ್
Holi	ಹೋಲಿ
Ayee	ಆಯಿ
Re	ರೆ
Sanghod	ಸಂಘೋಡ್
Stephan	ಸ್ಟೀಫನ್
Khanna	ಖನ್ನಾ
Mangataraam	ಮಂಗತರಾಮ್
Maadrey	ಮಾದ್ರೇಯ್
Santander	ಸಾಂಟಾಂಡರ್
Central	ಸೆಂಟ್ರಲ್
IFlex	ಐಫ್ಲೆಕ್ಸ್
Solution	ಸಲ್ಯೂಷನ್ಸ್
Tyco	ಟೈಕೋ
International	ಇಂಟರ್ನ್ಯಾಷನಲ್
Sirvat	ಸಿರ್ವತ್
Murlin	ಮರ್ಲಿನ್
munro	ಮನ್ರೋ
Bheeshm	ಭೀಷ್ಮ್
Elke	ಎಲ್ಕೆ
Queen	ಕ್ವೀನ್
Elizabeth	ಎಲಿಜಬೆತ್
II	II
Hum	ಹಮ್
Dono	ದೋನೋ
Hero	ಹೀರೋ
Hiralal	ಹೀರಾಲಾಲ್
Viribus	ವಿರಿಬಸ್
Unitis	ಯುನಿಟಿಸ್
Sekhwa	ಸೆಖ್ವಾ
Marvin	ಮಾರ್ವಿನ್
Governor	ಗವರ್ನರ್
General's	ಜನರಲ್ಸ್
Award	ಅವಾರ್ಡ್
Alfa	ಆಲ್ಫಾ
Laval	ಲಾವಲ್
Prem	ಪ್ರೇಮ್
Ki	ಕಿ
Devi	ದೇವಿ
Paraas	ಪರಾಸ್
Fort	ಫೋರ್ಟ್
matanzas	ಮತಂಜಾಸ್
Bijli	ಬಿಜಲೀ
Eknath	ಏಕನಾಥ್
Solkar	ಸೋಳ್ಕರ್
Albatross	ಅಲ್ಬಟ್ರಾಸ್
Chromium	ಕ್ರೋಮಿಯಂ
Dyan	ಡೈನಾ
Jeevankala	ಜೀವನ್‌ಕಲಾ
Horse	ಹಾರ್ಸ್
sand	ಸ್ಯಾಂಡ್
fort	ಫೋರ್ಟ್
Zurich	ಜ್ಯೂರಿಕ್
Financial	ಫೈನಾನ್ಷಿಯಲ್
Services	ಸರ್ವಿಸಸ್
Athletics	ಅಥ್ಲೆಟಿಕ್ಸ್
Canada	ಕೆನಡಾ
Southern	ಸದರ್ನ್
Petroleum	ಪೆಟ್ರೋಲಿಯಂ
Giuseppe	ಗ್ಯುಸೆಪ್
Garibaldi	ಗರಿಬಲ್ದಿ
Sema	ಸೀಮಾ
Kodaganar	ಕೊಡಂಗನಾರ್
Reservoir	ರಿಜರ್ವಾಯರ್
Dharam	ಧರಮ್
Aur	ಔರ್
Kanoon	ಕಾನೂನ್
Raqibul	ರಖಿಬುಲ್
Hasan	ಹಸನ್
Bellsouth	ಬೆಲ್ ಸೌತ್
Faith	ಫೇತ್
Samrat	ಸಾಮ್ರಾಟ್
Chandragupt	ಚಂದ್ರಗುಪ್ತ್
Bluenose	ಬ್ಲೂನೋಸ್
Brittany	ಬ್ರಿಟ್ಟಾನಿ
Foolan	ಫೂಲನ್
Davidson	ಡೇವಿಡ್ಸನ್
Fynn	ಫಿನ್
Shabri	ಶಬರಿ
Rajdhani	ರಾಜಧಾನಿ
Anuhya	ಅನೂಹ್ಯ
Pakkhoke	ಪಖೋಕೆ
Bakhtaawar	ಭಕ್ತಾವರ್
Bindu	ಬಿಂದು
Obie	ಓಬೀ
Award	ಅವಾರ್ಡ್
Ram	ರಾಮ್
Laxman	ಲಕ್ಷ್ಮಣ್
Monish	ಮೋನಿಶ್
Vaageeshvar	ವಾಗೀಶ್ವರ್
Mangetar	ಮಂಗೇತರ್
Triumph	ಟ್ರಿಂಪ್
Eilis	ಈಲಿಸ್
Ellamanchili	ಎಲಮನ್ಚಿಲಿ
Milan	ಮಿಲನ್
Ki	ಕಿ
Raat	ರಾತ್
Qiana	ಕ್ವಿಯಾನಾ
Bhola	ಭೊಲ್ಲಾ
Shankar	ಶಂಕರ್
Graeme	ಗ್ರೀಮ್
Porter	ಪೋರ್ಟರ್
Fort	ಫೋರ್ಟ್
mcclary	ಮ್ಯಾಕ್‌ಕ್ಲಾರಿ
Krittika	ಕೃತ್ತಿಕಾ
Robin	ರಾಬಿನ್
Brown	ಬ್ರೌನ್
Geodesic	ಜಿಯೊಡೆಸಿಕ್
Yagy	ಯಾಜಿ
Kutharaiyar	ಕುಥಾರಾಯರ್
Reservoir	ರಿಜರ್ವಾಯರ್
Appu	ಅಪ್ಪು
Raja	ರಾಜಾ
Qayamat	ಕಯಾಮತ್
Ki	ಕೀ
Raat	ರಾತ್
Jawara	ಜವಾರಾ
James	ಜೇಮ್ಸ್
Michener	ಮಿಕೆನರ್
Sankoch	ಸಂಕೋಚ್
Shikayat	ಶಿಕಾಯತ್
Abdus	ಅಬ್ದುಸ್
Maisie	ಮೈಸಿ
Pisa	ಪೀಸಾ
Galileo	ಗೆಲಿಲಿಯೊ
Galilei	ಗೆಲಿಲಿ
Abdul	ಅಬ್ದುಲ್
Pramila	ಪ್ರಮೀಳಾ
Adityapur	ಆದಿತ್ಯಾಪುರ್
Fort	ಫೋರ್ಟ್
le	ಲೆ
vieux	ವಿಕ್ಸ್
Guido	ಗುಯ್ಡೊ
Figure	ಫಿಗರ್
Skating	ಸ್ಕೇಟಿಂಗ್
Guru	ಗುರು
Ghantal	ಘಂಟಾಲ್
Thorington	ತೊರಿಂಗ್ಟನ್
Road	ರೋಡ್
Baptist	ಬ್ಯಾಪ್ಟಿಸ್ಟ್
Edinburgh	ಎಡಿನ್‌ಬರ್ಗ್
College	ಕಾಲೇಜ್
of	ಆಫ್
Art	ಆರ್ಟ್
Bandurria	ಬಂಡುರಿಯಾ
Laxmi	ಲಕ್ಷ್ಮಿ
Shukla	ಶುಕ್ಲಾ
Saint	ಸೆಂಟ್
lucian	ಲ್ಯುಕಿಯನ್
tower	ಟವರ್
Meru	ಮೆರು
Hans	ಹನ್ಸ್
Christian	ಕ್ರಿಸ್ಟಿಯನ್
Andersen	ಆಂಡರ್ಸನ್
Della	ಡೆಲ್ಲಾ
Yeshiva	ಯೆಶಿವಾ
University	ಯೂನಿವರ್ಸಿಟಿ
Museum	ಮ್ಯೂಸಿಯಂ
Jawani	ಜವಾನಿ
Ke	ಕೆ
Gunah	ಗುನಾಹ್
Aspreva	ಆಸ್ಪ್ರೆವಾ
Pharmaceuticals	ಫಾರ್ಮಾಸ್ಯೂಟಿಕಲ್ಸ್
Corporation	ಕಾರ್ಪೊರೇಶನ್
Ruth	ರುಥ್
Bader	ಬೇಡರ್
Ginsburg	ಗಿನ್ಸ್‌ಬರ್ಗ್
Amerada	ಅಮೆರಡಾ
Hess	ಹೆಸ್
Bargarh	ಬಾರಗಢ್
Road	ರೋಡ್
Aahwanit	ಆಹ್ವಾನಿತ್
Arad	ಅರದ್
fort	ಫೋರ್ಟ್
Jamie	ಜಾಮಿ
Siddons	ಸಿಡೋನ್ಸ್
Jangal	ಜಂಗಲ್
Mein	ಮೆ
Mangal	ಮಂಗಲ್
Guntur	ಗುಂಟೂರು
Weissenburg	ವೆಸಿನ್‌ಬರ್ಗ್
Saajan	ಸಾಜನ್
Bina	ಬಿನಾ
Suhagan	ಸುಹಾಗನ್
Kaun	ಕೌನ್
Apana	ಅಪನಾ
Kaun	ಕೌನ್
Paraya	ಪರಾಯಾ
Freddie	ಫ್ರೆಡ್ಡೀ
Mac	ಮ್ಯಾಕ್
Bahu	ಬಹು
Ki	ಕಿ
Awaaz	ಆವಾಜ್
Saagar	ಸಾಗರ
devataa	ದೇವತಾ
Tamatha	ತಮಾತಾ
Santayani	ಸಂತಯಾನೀ
Borneo	ಬೋರ್ನಿ
Hera	ಹೀರಾ
Gurudwara	ಗುರುದ್ವಾರ
Bibeksar	ಬಿಬೇಕ್‌ಸರ್
Humber	ಹಂಬರ್
Art	ಆರ್ಟ್
Sunje	ಸುಂಜ್
Museum	ಮ್ಯೂಸಿಯಂ
Mohabbat	ಮೊಹಬ್ಬತ್
Foster's	ಫೋಸ್ಟರ್ಸ್
Beer	ಬೀರ್
All-America	ಆಲ್-ಅಮೆರಿಕಾ
City	ಸಿಟಿ
Award	ಅವಾರ್ಡ್
Door	ದೂರ್
Door	ದೂರ್
Paas	ಪಾಸ್
Paas	ಪಾಸ್
Maa	ಮಾ
Bahen	ಬಹನ್
Aur	ಔರ್
Biwi	ಬೀವಿ
Wahla	ವಾಹಲಾ
Dalmia	ಡಾಲ್ಮಿಯಾ
Cement	ಸಿಮೆಂಟ್
Scott	ಸ್ಕಾಟ್
Styris	ಸ್ಟೈರಿಸ್
Hena	ಹೀನಾ
Mutatkar	ಮುತಾತ್ಕರ್
Beed	ಬೀಡ್
Swaha	ಸ್ವಾಹಾ
Fort	ಫೋರ್ಟ್
borstal	ಬೋರ್‌ಸ್ಟಲ್
Niggly	ನಿಗ್ಲಿ
Masta	ಮಸ್ತಾ
Fakir	ಫಕೀರ್
Lear	ಲಿಯರ್
Bow	ಬೋ
Derrick	ಡೆರಿಕ್
Burdah	ಬುರ್ದಾ
Rajagopala	ರಾಜಗೋಪಾಲ
Ramat-Gan	ರಮತ್-ಗನ್
Fritz	ಫ್ರಿಟ್ಜ್
Pregl	ಪ್ರೆಗ್ಲ್
Prize	ಪ್ರೈಜ್
Suru	ಸುರು
Nayak	ನಾಯಕ್
Pervez	ಪರ್ವೆಜ್
Mir	ಮಿರ್
Broadmoor	ಬ್ರಾಡ್ಮೂರ್
Baptist	ಬ್ಯಾಪ್ಟಿಸ್ಟ್
Frederic	ಫ್ರೆಡ್ರಿಕ್
Esser	ಈಸರ್
Nemmers	ನೇಮರ್ಸ್
Prize	ಪ್ರೈಜ್
Big	ಬಿಗ್
Brother	ಬ್ರದರ್
Awards	ಅವಾರ್ಡ್ಸ್
Do	ದೋ
Qaidi	ಕೈದಿ
Indal	ಇಂಡಲ್
Amir	ಅಮೀರ್
Khusro	ಖುಸ್ರೋ
Dehlo	ದೆಹ್ಲೋ
Parveen	ಪರ್ವೀನ್
Nanad	ನನದ್
Bhaujai	ಭೌಜಾಯಿ
Devvrat	ದೇವರತ್
Bitragunta	ಬಿತ್ರಾಗುಂಟಾ
Koryak	ಕೊರ್ಯಾಕ್
George	ಜಾರ್ಜ್
Kolbe	ಕೋಲ್ಬೇ
Museum	ಮ್ಯೂಸಿಯಂ
Tapan	ತಪನ್
Natiq	ನತೀಕ್
Balearic	ಬಲೇರಿಕ್
Thunderer	ಥಂಡರರ್
Thuringen	ಥರಿಂಗನ್
Devayush	ದೇವಯುಶ್
Darcie	ದಾರ್ಸಿ
Chakri	ಚಕ್ರಿ
Nareubet	ನರುಬೆಟ್
Amurt	ಅಮೂರ್ತ್
Kusumavati	ಕುಸುಮಾವತಿ
Madadgar	ಮದದ್‌ಗಾರ್
Fluorine	ಫ್ಲೋರಿನ್
Muhajir	ಮುಹಾಜಿರ್
Abdul	ಅಬ್ದುಲ್
azeez	ಅಜೀಜ್
Lesa	ಲೆಸಾ
Mangal	ಮಂಗಲ್
Dada	ದಾದಾ
Dil	ದಿಲ್
Dil	ದಿಲ್
Ka	ಕಾ
Thug	ಠಗ್
Gursar	ಗುರ್ಸಾರ್
Shnewala	ಸ್ನೇವಾಲಾ
Seemantini	ಸೀಮಂತಿನಿ
Iain	ಇಯಾನ್
Butchart	ಬುಚಾರ್ಟ್
Aayushman	ಆಯುಷ್ಮಾನ್
Financial	ಫೈನಾನ್ಶಿಯಲ್
express	ಎಕ್ಸ್‌ಪ್ರೆಸ್
Sharadini	ಶಾರದಿನಿ
Muazah	ಮುಆಜಾಹ್
Metripolitan	ಮೆಟ್ರಿಪೊಲಿಟನ್
Museum	ಮ್ಯೂಸಿಯಂ
of	ಆಫ್
art	ಆರ್ಟ್
Chamila	ಚಮೀಲ
Gamage	ಗಮಗೆ
Mera	ಮೇರಾ
Karam	ಕರಮ್
Mera	ಮೇರಾ
Dharam	ಧರಮ್
Gir	ಗಿರ್
Manojav	ಮನೋಜವ
Manaj	ಮಾನಜ್
Chemancheri	ಚೆಮನ್‌ಚೆರಿ
Champakali	ಚಂಪಕಲೀ
Ghaziyah	ಗಾಜಿಯಾಹ್
Pothohar	ಪೋಠೋಹಾರ್
Kendrapada	ಕೇಂದ್ರಪಾಡ
Voltas	ವೋಲ್ಟಾಸ್
John	ಜಾನ್
Jani	ಜಾನಿ
Janardan	ಜನಾರ್ದನ್
Deol	ಡಿಯೊಲ್
Abhayananda	ಅಭಯಾನಂದ
Abhishek	ಅಭಿಷೇಕ್
Pamelia	ಪಮೇಲಿಯಾ
Fia	ಫಿಯಾ
Score	ಸ್ಕೋರ್
Kal	ಕಲ್
Hamara	ಹಮಾರಾ
Hai	ಹೈ
Abhishok	ಅಭಿಶೋಕ್
Gundardehi	ಗುಂದರದೆಹಿ
Hum	ಹಮ್
Se	ಸೆ
Na	ನಾ
Jeeta	ಜೀತಾ
Koi	ಕೋಯಿ
Hind	ಹಿಂದ್
Oil	ಆಯಿಲ್
Explor	ಎಕ್ಸ್‌ಪ್ಲೋರ್
Heriot-Watt	ಹೆರಿಯಟ್-ವಾಟ್
University	ಯುನಿವರ್ಸಿಟಿ
Yasir	ಯಾಸಿರ್
Arafat	ಅರಾಫತ್
Lily	ಲಿಲಿ
Manohar	ಮನೋಹರ
Burnpur	ಬುರ್ನಪುರ್
Raat	ರಾತ್
Ke	ಕೆ
Rahi	ರಾಹಿ
Malcolm	ಮಾಲ್ಕಂ
Jarvis	ಜಾರ್ವಿಸ್
Maharani	ಮಹಾರಾಣಿ
Padmini	ಪದ್ಮಿನಿ
Annabelle	ಅನಾಬೆಲ್ಲಿ
Condecoracion	ಕಾಂಡೆಕೊರಾಕಿಯನ್
Miguel	ಮಿಗಿಯುಲ್
Hidalgo	ಹಿಡಲ್ಗೊ
Olesia	ಒಲೀಸಿಯಾ
Nissan	ನಿಸಾನ್
Motor	ಮೋಟರ್
Bhairav	ಭೈರವ್
Paheli	ಪಹೇಲಿ
Fender	ಫೆಂಡರ್
Rhodes	ರೋಡ್ಸ್
Deiter	ಡೀಟರ್
Sandhyanand	ಸಂಧ್ಯಾನಂದ್
Ab	ಅಬ್
Dilli	ದಿಲ್ಲಿ
Door	ದೂರ್
Nahin	ನಹೀ
Cameron	ಕೆಮರೂನ್
Cuffy	ಕಫಿ
Do	ದೋ
Khiladi	ಖಿಲಾಡಿ
Patralekha	ಪತ್ರಲೇಖ
Anandpur	ಆನಂದ್‌ಪುರ್
Sahib	ಸಾಹಿಬ್
Ek	ಏಕ್
Kali	ಕಲೀ
Muskai	ಮುಸ್ಕಾಯಿ
Navin	ನವಿನ್
Gihlan	ಗಿಲ್ಹನ್
Hanmee	ಹಾನ್ಮೀ
Presbyterian	ಪ್ರೆಸ್ಬಿಟೇರಿಯನ್
Gautami	ಗೌತಮೀ
Knorr	ನೋರ್
Kamakhya	ಕಾಮಾಖ್ಯ
devi	ದೇವಿ
Dhirganj	ಧೀರಗಂಜ್
Bajaj	ಬಜಾಜ್
Group	ಗ್ರೂಪ್
Manavendra	ಮಾನವೇಂದ್ರ
Denis	ಡೆನಿಸ್
Crete	ಕ್ರೀಟ್
Maritime	ಮೆರಿಟೈಮ್
Museum	ಮ್ಯೂಸಿಯಂ
Manasvi	ಮನಸ್ವಿ
Thomas	ಥಾಮಸ್
Stone	ಸ್ಟೋನ್
Fort	ಫೋರ್ಟ್
dix	ಡಿಕ್ಸ್
Ranaveer	ರಣವೀರ್
Gopinath	ಗೋಪಿನಾಥ್
Mohanti	ಮೊಹಂತಿ
Haridwar	ಹರಿದ್ವಾರ್
Manjyot	ಮನ್‌ಜ್ಯೋತ್
Aasami	ಅಸ್ಸಾಮಿ
Ajooba	ಅಜೂಬಾ
Dassault	ದಸ್ಸಾಲ್ಟ್
Systems	ಸಿಸ್ಟಮ್ಸ್,
Sindhu	ಸಿಂಧು
Ghar	ಘರ್
Dwar	ದ್ವಾರ್
Saggu	ಸಗ್ಗು
Agrimaa	ಅಗ್ರಿಮಾ
Delora	ಡೆಲೇರೊ
Ab	ಅಬ್
Kya	ಕ್ಯಾ
Hoga	ಹೋಗಾ
Paapi	ಪಾಪಿ
Sansar	ಸನ್ಸಾರ್
Giriraaj	ಗಿರಿರಾಜ್
Balaveer	ಬಲವೀರ್
Riyasat	ರಿಯಾಸತ್
Bear	ಬಿಯರ್
River	ರಿವರ್
Nasik	ನಾಸಿಕ್
Jai	ಜೈ
Ambe	ಅಂಬೆ
Freer	ಫ್ರೀರ್
Gallery	ಗ್ಯಾಲರಿ
of	ಆಫ್
Art	ಆರ್ಟ್
Macquarie	ಮೆಕ್ವಾರೀ
University	ಯುನಿವರ್ಸಿಟಿ
Phool	ಪೂಲ್
Aur	ಔರ್
Patthar	ಪತ್ಥರ್
Peace	ಪೀಸ್
Lutheran	ಲುತೆರನ್
Chosla	ಚೋಸ್ಲಾ
Maluku	ಮಲುಕು
and	ಅಂಡ್
Irian	ಇರಿಯನ್
Jaya	ಜಾಯಾ
Anupam	ಅನುಪಮ್
Shankar	ಶಂಕರ್
Parvati	ಪಾರ್ವತಿ
The	ದ
asian	ಏಶಿಯನ್
age	ಏಜ್
Takeda	ತಕೇಡಾ
Award	ಅವಾರ್ಡ್
Siddhu	ಸಿದ್ಧೂ
Shoushan	ಶೌಶನ್
Ajmani	ಅಜ್ಮಾನಿ
British	ಬ್ರಿಟಿಷ್
Comedy	ಕಾಮೆಡಿ
Awards	ಅವಾರ್ಡ್ಸ್
Pepin	ಪೆಪಿನ್
Mahaaksh	ಮಹಾಕ್ಷ
Jeff	ಜೆಫ್
Bridges	ಬ್ರಿಡ್ಜಸ್
Raakhi	ರಾಖಿ
London	ಲಂಡನ್
Express	ಎಕ್ಸ್‌ಪ್ರೆಸ್
Naqid	ನಾಖಿದ್
Cairbre	ಕೇರ್ಬ್ರಿ
Paharpur	ಪಹಾರ್‌ಪುರ್
Cooling	ಕೂಲಿಂಗ್
Towers	ಟವರ್ಸ್
Elburz	ಎಲ್‌ಬುರ್ಜ್
Neil	ನೀಲ್
Fairbrother	ಫೇರ್‌ಬ್ರದರ್
Channery	ಚನೇರಿ
People's	ಪೀಪಲ್ಸ್
Choice	ಚಾಯ್ಸ್
Award	ಅವಾರ್ಡ್
Mastana	ಮಸ್ತಾನಾ
Abhr	ಅಭ್ರ
Jawhar	ಜವಹರ್
Mastani	ಮಸ್ತಾನೀ
Aangan	ಆಂಗನ್
Cherry	ಚೆರ್ರಿ
Carl	ಕಾರ್ಲ್
Bulfin	ಬಲ್ಫಿನ್
David	ಡೇವಿಡ್
Mutendera	ಮುಟೆಂಡರಾ
Bhagavat	ಭಗವತ
Rishta	ರಿಶ್ತಾ
Kagaz	ಕಾಗಜ್
Ka	ಕಾ
Kaushik	ಕೌಶಿಕ್
Amalean	ಅಮಲೀನ್
Skating	ಸ್ಕೇಟಿಂಗ್
Sawan	ಸಾವನ್
Bhadon	ಭಾದೋ
Ghungroo	ಘುಂಗರೂ
Ki	ಕಿ
Awaz	ಆವಾಜ್
Balagovind	ಬಾಲಗೋವಿಂದ್
Spector	ಸ್ಪೆಕ್ಟರ್
Naparajit	ನಪರಾಜಿತ್
Georgianne	ಜಾರ್ಜಿಯಾನಿ
General	ಜನರಲ್
George	ಜಾರ್ಜ್
Castro	ಕ್ಯಾಸ್ಟ್ರೋ
Hindustan	ಹಿಂದೂಸ್ತಾನ್
Lever	ಲೀವರ್
Saint	ಸೇಂಟ್
Olavs	ಒಲಾವ್ಸ್
medal	ಮೆಡಲ್
Ytterbium	ಯೆಟರ್‌ರ್ಬಿಯಂ
Mera	ಮೇರಾ
Desh	ದೇಶ್
Mera	ಮೆರಾ
Dharam	ಧರ್ಮ್
Carl	ಕಾರ್ಲ್
Vinson	ವಿನ್ಸನ್
Azra	ಅಜ್ರಾ
Gary	ಗ್ಯಾರಿ
Kirsten	ಕರ್ಸ್ಟನ್
Awaragardi	ಆವಾರಾಗರ್ದೀ
Mera	ಮೇರಾ
Munna	ಮುನ್ನಾ
Denise	ಡೆನೈಸ್
Trieste	ಟ್ರಿಸ್ಟೆ
Takiuddeen	ತಾಕಿವುದ್ದೀನ್
Juneja	ಜುನೇಜಾ
Osmond	ಆಸ್ಮಂಡ್
Badriyah	ಬದ್ರಿಯಾ
Gibbons	ಗಿಬ್ಬನ್ಸ್
Miami	ಮಿಯಾಮಿ
University	ಯುನಿವರ್ಸಿಟಿ
Gajraula	ಗಜ್ರೌಲಾ
Junction	ಜಂಕ್ಷನ್
Jajpur	ಜಾಜ್ಪುರ್
Ciel	ಸಿಯೆಲ್
Akutagawa	ಅಕುಟಗವಾ
Prize	ಪ್ರೈಜ್
Cuatro	ಕ್ವಾಟ್ರೊ
Fish	ಫಿಶ್
River	ರಿವರ್
Canyon	ಕ್ಯಾನ್ಯೋನ್
Paap	ಪಾಪ್
Aur	ಔರ್
Punya	ಪುಣ್ಯ್
Raakhee	ರಾಖೀ
Yamamah	ಯಾಮಮ
Gydan	ಗೈಡನ್
Ryan	ರಯಾನ್
Ramdass	ರಾಮ್‌ದಾಸ್
Hum	ಹಮ್
Tum	ತುಮ್
Aur	ಔರ್
Who	ವೋ
Edwin	ಎಡ್ವಿನ್
Gachhipura	ಗಚ್ಚಿಲಿಪುರಾ
Jaipur	ಜೈಪುರ
Diwankhavati	ದಿವಾನಖಾವತಿ
Hosanna	ಹೊಸಾನಾ
Lutheran	ಲುಥೆರನ್
Chand	ಚಂದ್
Chakori	ಚಕೋರಿ
Crocker	ಕ್ರಾಕರ್
Jasrah	ಜಸ್ರಾ
Bhagirathi	ಭಾಗೀರಥಿ
Zakhmi	ಜಖ್ಮೀ
Sher	ಶೇರ್
Kaaran	ಕಾರಣ್
Dawlat	ದೌಲತ್
Aan	ಆನ್
Baan	ಬಾನ್
Saarangee	ಸಾರಂಗೀ
Malise	ಮ್ಯಾಲಿಸ್
Aurat	ಔರತ್
Pair	ಪೈರ್
Ki	ಕಿ
Joti	ಜೂತೀ
Nahin	ನಹೀ
Cellebes	ಸೆಲ್ಲಿಬೆಸ್
Phazom	ಫಾಜೋಂ
Nishan	ನಿಶಾನ್
Danka	ಡಂಕಾ
Pathan	ಪಠಾನ್
Matthew	ಮ್ಯಾಥ್ಯೂ
Bell	ಬೆಲ್
Tatra	ಟಾಟ್ರಾ
Shardul	ಶಾರ್ದುಲ್
Aanandini	ಆನಂದಿನಿ
Moses	ಮೋಸೆಸ್
Rafiqah	ರಫಿಕಾ
Alphonse	ಅಲ್ಫೋನ್ಸ್
Chetan	ಚೇತನ್
Chauhan	ಚೌಹಾನ್
Gurbachan	ಗುರುಬಚನ್
Peruvaripallam	ಪೆರುವರಿಪಳ್ಳಂ
Nazih	ನಾಜೀ
Edric	ಎಡ್ರಿಕ್
Cathedral	ಕ್ಯಥೆಡ್ರಲ್
and	ಅಂಡ್
